Id,MSSubClass,LotFrontage,LotArea,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,BsmtFinSF1,BsmtUnfSF,TotalBsmtSF,1stFlrSF,2ndFlrSF,GrLivArea,BsmtFullBath,FullBath,HalfBath,BedroomAbvGr,TotRmsAbvGrd,Fireplaces,GarageYrBlt,GarageCars,GarageArea,WoodDeckSF,OpenPorchSF,EnclosedPorch,MoSold,YrSold,MSZoning,LotShape,LandContour,LotConfig,Neighborhood,Condition1,BldgType,HouseStyle,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,ExterQual,ExterCond,Foundation,BsmtQual,BsmtExposure,BsmtFinType1,BsmtFinType2,HeatingQC,KitchenQual,FireplaceQu,GarageType,GarageFinish,SaleType,SaleCondition
1,60,65.0,8450,7,5,2003,2003,196.0,706,150,856,856,854,1710,1,2,1,3,8,0,2003.0,2,548,0,61,0,2,2008,RL,Reg,Lvl,Inside,CollgCr,Norm,1Fam,2Story,Gable,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,No,GLQ,Unf,Ex,Gd,,Attchd,RFn,WD,Normal
2,20,80.0,9600,6,8,1976,1976,0.0,978,284,1262,1262,0,1262,0,2,0,3,6,1,1976.0,2,460,298,0,0,5,2007,RL,Reg,Lvl,FR2,Veenker,Feedr,1Fam,1Story,Gable,MetalSd,MetalSd,None,TA,TA,CBlock,Gd,Gd,ALQ,Unf,Ex,TA,TA,Attchd,RFn,WD,Normal
3,60,68.0,11250,7,5,2001,2002,162.0,486,434,920,920,866,1786,1,2,1,3,6,1,2001.0,2,608,0,42,0,9,2008,RL,IR1,Lvl,Inside,CollgCr,Norm,1Fam,2Story,Gable,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,Mn,GLQ,Unf,Ex,Gd,TA,Attchd,RFn,WD,Normal
4,70,60.0,9550,7,5,1915,1970,0.0,216,540,756,961,756,1717,1,1,0,3,7,1,1998.0,3,642,0,35,272,2,2006,RL,IR1,Lvl,Corner,Crawfor,Norm,1Fam,2Story,Gable,Wd Sdng,Wd Shng,None,TA,TA,BrkTil,TA,No,ALQ,Unf,Gd,Gd,Gd,Detchd,Unf,WD,Abnorml
5,60,84.0,14260,8,5,2000,2000,350.0,655,490,1145,1145,1053,2198,1,2,1,4,9,1,2000.0,3,836,192,84,0,12,2008,RL,IR1,Lvl,FR2,NoRidge,Norm,1Fam,2Story,Gable,VinylSd,VinylSd,BrkFace,Gd,TA,PConc,Gd,Av,GLQ,Unf,Ex,Gd,TA,Attchd,RFn,WD,Normal
6,50,85.0,14115,5,5,1993,1995,0.0,732,64,796,796,566,1362,1,1,1,1,5,0,1993.0,2,480,40,30,0,10,2009,RL,IR1,Lvl,Inside,Mitchel,Norm,1Fam,1.5Fin,Gable,VinylSd,VinylSd,None,TA,TA,Wood,Gd,No,GLQ,Unf,Ex,TA,,Attchd,Unf,WD,Normal
7,20,75.0,10084,8,5,2004,2005,186.0,1369,317,1686,1694,0,1694,1,2,0,3,7,1,2004.0,2,636,255,57,0,8,2007,RL,Reg,Lvl,Inside,Somerst,Norm,1Fam,1Story,Gable,VinylSd,VinylSd,Stone,Gd,TA,PConc,Ex,Av,GLQ,Unf,Ex,Gd,Gd,Attchd,RFn,WD,Normal
8,60,,10382,7,6,1973,1973,240.0,859,216,1107,1107,983,2090,1,2,1,3,7,2,1973.0,2,484,235,204,228,11,2009,RL,IR1,Lvl,Corner,NWAmes,PosN,1Fam,2Story,Gable,HdBoard,HdBoard,Stone,TA,TA,CBlock,Gd,Mn,ALQ,BLQ,Ex,TA,TA,Attchd,RFn,WD,Normal
9,50,51.0,6120,7,5,1931,1950,0.0,0,952,952,1022,752,1774,0,2,0,2,8,2,1931.0,2,468,90,0,205,4,2008,RM,Reg,Lvl,Inside,OldTown,Artery,1Fam,1.5Fin,Gable,BrkFace,Wd Shng,None,TA,TA,BrkTil,TA,No,Unf,Unf,Gd,TA,TA,Detchd,Unf,WD,Abnorml
10,190,50.0,7420,5,6,1939,1950,0.0,851,140,991,1077,0,1077,1,1,0,2,5,2,1939.0,1,205,0,4,0,1,2008,RL,Reg,Lvl,Corner,BrkSide,Artery,2fmCon,1.5Unf,Gable,MetalSd,MetalSd,None,TA,TA,BrkTil,TA,No,GLQ,Unf,Ex,TA,TA,Attchd,RFn,WD,Normal
